t,px,py,pz,vx,vy,vz
0.00012418012908521736,5.795213452803896e-05,-3.3249374872637185e-06,0.0007517656959927321,0.005481330537166527,-0.003153341590985153,0.0037456776158169085
0.00012525986087348574,5.819685583145395e-05,-3.3389358538799205e-06,0.0007548924609252336,0.005452482687125912,-0.003136816122966227,0.0037231873308269424
0.00012633963876449822,5.8440424348762695e-05,-3.352868381928739e-06,0.0007580046778236039,0.005424052553515575,-0.003120529983646583,0.0037010187879790543
0.00012741944115995832,5.8682842184777833e-05,-3.366734750318131e-06,0.0007611025579735288,0.00539603151153282,-0.003104478235810423,0.003679165195114497
0.0001284992928333733,5.892412609832341e-05,-3.3805366358699554e-06,0.0007641865897736107,0.0053684098961848566,-0.003088655342979954,0.003657618978865903
0.00012957919025579495,5.916430054804e-05,-3.3942747409839314e-06,0.0007672573105676778,0.005341178927478377,-0.0030730562866517854,0.003636373238519677
0.00013065914581568443,5.9403370181546434e-05,-3.4079478838738244e-06,0.0007703148890954873,0.005314329772519359,-0.0030576760219880755,0.0036154211199393624
0.00013173915364959388,5.964134454401385e-05,-3.4215608821348864e-06,0.0007733590043855986,0.005287854340146892,-0.003042509911805468,0.0035947562233033066
0.00013281918069843758,5.9878253361656164e-05,-3.435110552631131e-06,0.0007763890453214626,0.005261745411693107,-0.003027553862042674,0.00357437281393627
0.00013389927655901697,6.0114106452335554e-05,-3.448604026465411e-06,0.0007794045890277747,0.005235993958389781,-0.0030128026804918874,0.003554263725747251
0.0001349794094183516,6.034889890093418e-05,-3.4620345959847866e-06,0.0007824048969182921,0.0052105930909941665,-0.0029982524537773307,0.0035344234949980097
0.00013605957606653484,6.0582631338185124e-05,-3.4754023187155543e-06,0.0007853900129179671,0.005185535621323787,-0.00298389905668072,0.003514846437237401
0.00013713980583013435,6.0815327043709334e-05,-3.4887089914435207e-06,0.0007883609958019745,0.005160813882311765,-0.0029697381049356483,0.0034955265877947856
0.00013822006709081366,6.104700376275034e-05,-3.5019544795969065e-06,0.000791318653930998,0.005136421830591265,-0.002955766144192873,0.003476459297089627
0.00013930039086746052,6.1277657959547e-05,-3.515143724903485e-06,0.0007942629902611504,0.0051123520802114015,-0.0029419789644096073,0.0034576388326467275
0.00014038078177306727,6.150730726053595e-05,-3.5282797053937557e-06,0.0007971939944243094,0.00508859793753738,-0.002928372722290514,0.0034390599892461715
0.00014146120350595585,6.173595696966295e-05,-3.5413571125033798e-06,0.0008001115307290004,0.005065153767486472,-0.0029149441984568656,0.003420718426455305
0.00014254166954940134,6.196362423417351e-05,-3.5543792814705585e-06,0.0008030158405711526,0.005042013084317522,-0.0029016897106421834,0.003402609130713546
0.00014362217821131508,6.219030376138411e-05,-3.5673432306564302e-06,0.0008059071622702032,0.005019169982718865,-0.0028886058716748645,0.0033847275683803807
0.00014470275033288529,6.241600807230423e-05,-3.580252566860501e-06,0.0008087858712183382,0.004996618331893062,-0.0028756891517287635,0.003367068928137911
0.00014578334638886802,6.264075862285037e-05,-3.5931062838282483e-06,0.0008116523545544464,0.004974353204196178,-0.0028629367777946906,0.0033496293563000357
0.0001468639951717474,6.286456024869877e-05,-3.605905341262514e-06,0.0008145071713331019,0.00495236842705721,-0.0028503451561562127,0.003332403903627232
0.00014794469404247522,6.308742985830661e-05,-3.618651314315636e-06,0.0008173503705960035,0.004930658585766978,-0.002837911208421467,0.0033153882965004672
0.00014902544485581874,6.330938232269194e-05,-3.631343785904216e-06,0.0008201817616074123,0.004909218432731734,-0.002825631966017713,0.0032985784287537104
0.00015010624661833806,6.353041193361367e-05,-3.6439839600938144e-06,0.000823001364787465,0.004888043097041136,-0.0028135045871237464,0.0032819703619111403
0.0001511870940971297,6.375052496051991e-05,-3.6565727722428966e-06,0.000825808875206952,0.004867127843262874,-0.0028015263501906967,0.0032655602223467762
0.00015226799558500738,6.396974780672145e-05,-3.6691083435397544e-06,0.0008286037293169939,0.004846467503123425,-0.0027896942560181773,0.003249343820102029
0.00015334894702183406,6.418808005046118e-05,-3.6815952008758405e-06,0.0008313857689038007,0.004826057154584851,-0.002778005514393724,0.0032333171986179683
0.00015442995092649798,6.440553865238e-05,-3.6940319811065656e-06,0.0008341552919088453,0.004805891858672186,-0.0027664572863450782,0.0032174765221505866
0.00015551100141873503,6.462213499724718e-05,-3.706420062483833e-06,0.0008369124795745988,0.0047859670790529225,-0.0027550469291571216,0.0032018183558503886
0.00015659211438720679,6.483789639485468e-05,-3.7187601663730735e-06,0.0008396570143812468,0.004766278046543539,-0.0027437717408305452,0.0031863391127534817
0.0001576732673301374,6.505280451451691e-05,-3.7310521384569814e-06,0.0008423884285917547,0.004746820858363075,-0.0027326295192984895,0.0031710358799873564
0.00015875445899896326,6.526687686511942e-05,-3.7432951849786696e-06,0.0008451065312872927,0.00472759146076728,-0.0027216179035299513,0.003155905535007149
0.00015983569437124365,6.548011986929855e-05,-3.7554925391010947e-06,0.0008478113175999393,0.004708585565030969,-0.0027107344723273637,0.003140944874376243
0.00016091696059367615,6.569252043719724e-05,-3.7676378787865655e-06,0.0008505029397878196,0.004689799245536976,-0.002699976967570706,0.0031261509320400513
0.00016199826977366755,6.590408532939742e-05,-3.7797368372865683e-06,0.0008531821004109378,0.00467122821178526,-0.0026893429132734117,0.0031115205257498525
0.0001630796145477176,6.61148342127726e-05,-3.791788771428147e-06,0.0008558498117151347,0.0046528687087865036,-0.0026788301785032314,0.0030970509394552337
0.0001641610097986585,6.632475633943375e-05,-3.8037920232842315e-06,0.0008585072027483314,0.0046347167420772465,-0.0026684364840020743,0.0030827392084387655
0.00016524244079218383,6.653386816889941e-05,-3.8157501336727265e-06,0.0008611548312747586,0.004616768988389199,-0.002658159915108186,0.0030685828796244837
0.00016632392823706535,6.674217399807034e-05,-3.827663712781661e-06,0.0008637927267687611,0.00459902166092901,-0.002647998302705207,0.0030545790178833723
0.00016740547729809889,6.694966317926968e-05,-3.83952896454155e-06,0.0008664207419753759,0.004581471180341904,-0.002637949600673526,0.003040724833116538
0.00016848704611836172,6.715634726174335e-05,-3.851345901226794e-06,0.000869038639521313,0.004564114713080402,-0.0026280121791341154,0.003027018123855815
0.00016956866022903663,6.736223533253128e-05,-3.863117699913723e-06,0.000871646552289652,0.004546948391626738,-0.002618183815992472,0.003013455931693315
0.00017065032949774978,6.756733314762235e-05,-3.874843430390571e-06,0.0008742445134726002,0.004529968707555397,-0.0026084625272764944,0.0030000355804949744
